statename,state,Year,Month,pop,laborforce_participation,Employed_prct,unemp_rate
Alabama,AL,1976,1,2605000,57.3,53.4,6.7
Alaska,AK,1976,1,232000,68.6,63.7,7.1
Arizona,AZ,1976,1,1621000,60,53.8,10.3
Arkansas,AR,1976,1,1536000,57.5,53.2,7.4
California,CA,1976,1,15621000,62.6,56.9,9.1
Colorado,CO,1976,1,1832000,67.3,63.6,5.5
Connecticut,CT,1976,1,2248000,64.2,57.9,9.8
Delaware,DE,1976,1,417000,63,58.1,7.7
D.C.,DC,1976,1,520000,65.3,59.4,9
Florida,FL,1976,1,6421000,55.9,50.6,9.6
Georgia,GA,1976,1,3522000,63.9,58.5,8.4
Hawaii,HI,1976,1,583000,70.1,63,10.1
Idaho,ID,1976,1,580000,63.1,59.7,5.5
Illinois,IL,1976,1,8127000,63.2,58.9,6.7
Indiana,IN,1976,1,3789000,63.8,59.7,6.5
Iowa,IA,1976,1,2066000,64.1,61.4,4.2
Kansas,KS,1976,1,1635000,64.9,62.1,4.3
Kentucky,KY,1976,1,2459000,60.6,57.2,5.6
Louisiana,LA,1976,1,2672000,56.7,53.1,6.3
Maine,ME,1976,1,764000,62.3,56.8,8.8
Maryland,MD,1976,1,2954000,64.5,60.3,6.5
Massachusetts,MA,1976,1,4194000,64.7,58.1,10.3
Michigan,MI,1976,1,6417000,61.7,55.6,9.9
Minnesota,MN,1976,1,2788000,65.7,61.8,6
Mississippi,MS,1976,1,1640000,58.6,54.7,6.7
Missouri,MO,1976,1,3464000,60.3,56.7,6
Montana,MT,1976,1,531000,61.6,58,5.9
Nebraska,NE,1976,1,1095000,65.4,63.2,3.3
Nevada,NV,1976,1,451000,71.5,65.1,8.9
New Hampshire,NH,1976,1,593000,66,61.5,6.8
New Jersey,NJ,1976,1,5358000,61.2,55,10.3
New Mexico,NM,1976,1,792000,60,54.7,8.9
New York,NY,1976,1,13196000,58.3,52.3,10.3
North Carolina,NC,1976,1,3898000,66.6,62.3,6.5
North Dakota,ND,1976,1,442000,62.4,60.3,3.3
Ohio,OH,1976,1,7701000,61.8,56.8,8.1
Oklahoma,OK,1976,1,1999000,59.1,55.6,5.9
Oregon,OR,1976,1,1716000,62.6,56.5,9.7
Pennsylvania,PA,1976,1,8774000,58.2,53.5,8.1
Rhode Island,RI,1976,1,691000,62.9,57.8,8.1
South Carolina,SC,1976,1,1984000,65.2,60.2,7.6
South Dakota,SD,1976,1,477000,64.7,62.7,3.2
Tennessee,TN,1976,1,3078000,59.1,55.6,6
Texas,TX,1976,1,8818000,63.8,60.1,5.8
Utah,UT,1976,1,824000,63,59.4,5.8
Vermont,VT,1976,1,339000,63,57.6,8.7
Virginia,VA,1976,1,3534000,65.9,62,5.9
Washington,WA,1976,1,2598000,61,55.7,8.7
West Virginia,WV,1976,1,1352000,52,47.9,7.8
Wisconsin,WI,1976,1,3245000,65.5,61.7,5.8
Wyoming,WY,1976,1,270000,65.1,62.4,4.1
Alabama,AL,1976,2,2610000,57.2,53.3,6.7
Alaska,AK,1976,2,234000,67.9,63.1,7.1
Arizona,AZ,1976,2,1626000,59.8,53.6,10.3
Arkansas,AR,1976,2,1538000,57.4,53.1,7.4
California,CA,1976,2,15657000,62.4,56.8,9.1
Colorado,CO,1976,2,1837000,67.1,63.4,5.5
Connecticut,CT,1976,2,2251000,64.1,57.8,9.8
Delaware,DE,1976,2,418000,62.8,58,7.7
D.C.,DC,1976,2,519000,65.4,59.5,9
Florida,FL,1976,2,6437000,55.8,50.4,9.6
Georgia,GA,1976,2,3528000,63.8,58.4,8.4
Hawaii,HI,1976,2,585000,69.9,62.8,10.2
Idaho,ID,1976,2,582000,62.9,59.4,5.4
Illinois,IL,1976,2,8136000,63.1,58.8,6.7
Indiana,IN,1976,2,3793000,63.7,59.6,6.5
Iowa,IA,1976,2,2069000,64,61.3,4.2
Kansas,KS,1976,2,1637000,64.8,62,4.3
Kentucky,KY,1976,2,2465000,60.4,57,5.6
Louisiana,LA,1976,2,2678000,56.5,52.9,6.3
Maine,ME,1976,2,766000,62.1,56.6,8.8
Maryland,MD,1976,2,2958000,64.4,60.2,6.5
Massachusetts,MA,1976,2,4198000,64.7,58,10.3
Michigan,MI,1976,2,6424000,61.6,55.5,9.9
Minnesota,MN,1976,2,2793000,65.6,61.7,6
Mississippi,MS,1976,2,1644000,58.4,54.5,6.7
Missouri,MO,1976,2,3469000,60.2,56.6,6
Montana,MT,1976,2,532000,61.5,57.9,5.9
Nebraska,NE,1976,2,1096000,65.3,63.1,3.3
Nevada,NV,1976,2,454000,71,64.6,9
New Hampshire,NH,1976,2,595000,65.8,61.3,6.8
New Jersey,NJ,1976,2,5363000,61.2,54.9,10.2
New Mexico,NM,1976,2,795000,59.7,54.4,8.9
New York,NY,1976,2,13202000,58.2,52.2,10.3
North Carolina,NC,1976,2,3905000,66.5,62.2,6.5
North Dakota,ND,1976,2,443000,62.2,60.1,3.3
Ohio,OH,1976,2,7706000,61.7,56.7,8.1
Oklahoma,OK,1976,2,2003000,58.9,55.4,5.9
Oregon,OR,1976,2,1720000,62.4,56.4,9.7
Pennsylvania,PA,1976,2,8780000,58.1,53.4,8.1
Rhode Island,RI,1976,2,692000,62.8,57.7,8.1
South Carolina,SC,1976,2,1988000,65,60.1,7.6
