eduyrs,female,close_far_right,minority,father_citizen,father_secondary,years_to_reform
13,0,0,1,0,1,-11
13,0,0,1,0,1,-18
10,1,0,1,0,1,-34
11,1,0,1,0,1,19
10,0,0,1,0,1,-23
13,0,0,1,0,1,-6
7,1,0,1,0,1,-41
10,1,0,1,0,1,-22
10,0,0,1,0,1,-24
13,1,0,1,0,1,9
10,0,0,1,0,1,2
10,1,0,1,0,1,-22
9,0,0,1,0,1,-28
9,1,0,1,0,1,-39
11,1,0,1,0,1,-28
9,0,0,1,1,1,-25
13,1,0,1,0,NA,17
10,0,0,1,0,1,-18
13,0,0,1,0,1,-5
13,0,0,1,0,1,1
10,1,0,1,0,1,-17
9,0,0,1,0,1,-27
13,1,0,1,0,1,-5
10,0,0,1,0,1,-14
13,1,0,1,1,1,18
11,0,0,1,0,1,-22
10,0,0,1,0,1,-32
12,1,0,1,0,1,2
13,1,0,1,0,1,-1
13,0,0,1,0,0,-17
11,1,0,1,0,1,-1
11,1,0,1,0,NA,-26
12,1,0,1,0,1,-10
13,0,0,1,0,1,-3
11,1,0,1,0,1,-12
9,1,0,1,0,1,-42
12,0,0,1,0,1,-2
13,1,0,1,1,1,-13
10,1,0,1,0,1,-10
9,0,0,1,0,0,-33
12,0,0,1,0,1,15
11,0,0,1,0,1,-26
10,0,0,1,0,1,-10
13,1,0,1,0,1,19
9,1,0,1,0,1,-30
11,0,1,1,0,NA,8
13,0,0,1,0,1,5
10,0,0,1,0,1,-32
13,0,0,1,0,1,-30
13,0,0,1,0,NA,-30
11,0,0,1,0,NA,-3
13,1,0,1,1,1,9
13,0,0,1,1,1,2
9,0,0,1,0,1,-32
11,1,0,1,0,1,-32
13,1,0,1,0,1,12
9,1,0,1,0,1,-29
9,1,0,1,1,1,-8
9,1,0,1,0,1,-41
9,0,0,1,0,1,-20
13,0,0,1,0,1,1
9,1,0,1,0,0,-33
10,1,0,1,0,1,-20
9,1,0,1,0,1,-27
9,1,0,1,0,1,-26
10,1,0,1,0,1,-34
10,0,0,1,0,1,-16
10,1,0,1,0,1,-14
9,0,0,1,1,1,-31
13,1,0,1,0,NA,-5
10,1,0,1,0,1,-21
11,1,0,1,0,1,-19
13,1,0,1,0,1,19
9,0,0,1,0,1,-26
13,1,0,1,0,1,-14
11,1,0,1,0,1,7
9,0,0,1,0,1,-17
13,1,0,1,0,1,11
12,0,0,1,0,1,-19
13,0,0,1,0,1,9
10,1,0,1,0,1,-10
13,0,0,1,1,1,-26
10,1,0,1,0,0,-9
4,1,0,1,0,1,-39
10,1,0,1,0,0,-4
9,1,0,1,0,1,-34
13,1,0,1,0,1,-5
9,1,0,1,0,1,-27
13,0,0,1,0,1,-20
11,1,0,1,0,1,5
10,1,0,1,0,1,5
13,0,0,1,0,1,-26
10,0,0,1,0,0,-19
12,1,0,1,0,1,4
13,0,0,1,0,1,10
9,0,0,1,0,1,-25
13,0,0,1,0,1,-25
13,0,0,1,0,1,13
13,1,0,1,0,1,-12
13,0,0,1,0,1,2
10,0,0,1,0,1,-11
11,1,0,1,0,1,-21
13,1,0,1,0,1,-10
13,0,0,1,0,1,-6
9,1,0,1,0,1,-38
13,0,0,1,0,1,12
13,1,1,1,0,1,9
13,1,0,1,0,1,-8
13,0,0,1,1,1,0
13,1,0,1,0,1,12
