"","state.name","date","pollster","grade","samplesize","population","clinton","trump","poll_id","question_id","state"
"1","New Mexico","11/6/16","Zia Poll","",8439,"lv",46,44,48614,76158,"NM"
"2","Virginia","11/3/16","Public Policy Polling","B+",1238,"lv",48,43,48349,75743,"VA"
"3","Iowa","11/2/16","Selzer & Company","A+",800,"lv",39,46,48470,75957,"IA"
"4","Wisconsin","10/28/16","Marquette University","A",1255,"lv",46,40,48095,75264,"WI"
"5","North Carolina","11/5/16","Siena College","A",800,"lv",44,44,48524,76066,"NC"
"6","Georgia","11/6/16","Landmark Communications","B",1200,"lv",46,49,48525,76068,"GA"
"7","Florida","11/4/16","Quinnipiac University","A-",884,"lv",46,45,48522,76060,"FL"
"8","North Carolina","11/4/16","Quinnipiac University","A-",870,"lv",47,45,48523,76062,"NC"
"9","Virginia","10/28/16","ABC News/Washington Post","A+",1024,"lv",48,42,47880,74934,"VA"
"10","Georgia","11/4/16","Gravis Marketing","B-",2002,"rv",44,48,48852,76448,"GA"
"11","Oregon","11/4/16","Gravis Marketing","B-",1963,"rv",44,40,48855,76451,"OR"
"12","Ohio","11/4/16","Gravis Marketing","B-",1781,"rv",42,48,48854,76450,"OH"
"13","South Carolina","11/4/16","Gravis Marketing","B-",1751,"rv",43,48,48857,76453,"SC"
"14","Ohio","11/3/16","YouGov","B",1189,"lv",45,46,48481,75977,"OH"
"15","Virginia","11/1/16","Remington","",3076,"lv",46,44,48494,76000,"VA"
"16","New York","11/4/16","Gravis Marketing","B-",1681,"rv",55,36,48853,76449,"NY"
"17","Michigan","11/3/16","Public Policy Polling","B+",957,"lv",46,41,48348,75741,"MI"
"18","North Carolina","10/31/16","Public Policy Polling","B+",1169,"lv",49,47,48326,75699,"NC"
"19","Wisconsin","11/1/16","Remington","",2720,"lv",49,41,48495,76001,"WI"
"20","Pennsylvania","11/1/16","Remington","",2683,"lv",46,45,48493,75999,"PA"
"21","Virginia","11/3/16","Christopher Newport University","B-",1193,"lv",48,42,48512,76034,"VA"
"22","North Carolina","11/1/16","Remington","",2596,"lv",45,48,48491,75997,"NC"
"23","Ohio","11/1/16","Remington","",2557,"lv",44,45,48492,75998,"OH"
"24","Georgia","11/4/16","YouGov","B",995,"lv",43,49,48682,76245,"GA"
"25","Missouri","10/31/16","Public Policy Polling","B+",1083,"lv",37,50,48119,75343,"MO"
"26","New Hampshire","11/4/16","Emerson College","B",1000,"lv",45.4,43.8,48519,76055,"NH"
"27","Arizona","11/4/16","Gravis Marketing","B-",1453,"rv",43,45,48851,76447,"AZ"
"28","Florida","11/1/16","Remington","",2352,"lv",45,48,48489,75995,"FL"
"29","Pennsylvania","10/31/16","Public Policy Polling","B+",1050,"lv",48,44,48329,75702,"PA"
"30","Pennsylvania","11/4/16","YouGov","B",931,"lv",45,43,48683,76246,"PA"
"31","Nevada","11/4/16","Gravis Marketing","B-",1158,"lv",45,43,48689,76269,"NV"
"32","Colorado","11/4/16","Gravis Marketing","B-",1378,"rv",44,43,48850,76446,"CO"
"33","Florida","11/3/16","YouGov","B",1188,"rv",45,45,48482,75978,"FL"
"34","Wisconsin","11/1/16","Clarity Campaign Labs","B",1129,"lv",47,43,48621,76170,"WI"
"35","Ohio","11/4/16","Emerson College","B",900,"lv",38.9,45.6,48516,76052,"OH"
"36","New Hampshire","11/4/16","University of New Hampshire","B+",692,"lv",49,38,48497,76013,"NH"
"37","Pennsylvania","11/2/16","Clarity Campaign Labs","B",1033,"lv",47,43,48620,76169,"PA"
"38","Florida","10/22/16","SurveyUSA","A",1251,"lv",48,45,47465,74252,"FL"
"39","California","10/28/16","YouGov","B",1498,"lv",53,33,48125,75391,"CA"
"40","Colorado","11/1/16","Remington","",1863,"lv",42,41,48488,75994,"CO"
"41","New York","11/3/16","Siena College","A",617,"lv",51,34,48478,75969,"NY"
"42","Nevada","11/1/16","Remington","",1793,"lv",45,46,48490,75996,"NV"
"43","Pennsylvania","11/4/16","Gravis Marketing","B-",1220,"rv",46,40,48856,76452,"PA"
"44","Arizona","10/31/16","Marist College","A",719,"lv",40,45,48211,75509,"AZ"
"45","Missouri","11/1/16","Clarity Campaign Labs","B",1036,"lv",38,54,48622,76171,"MO"
"46","Wisconsin","11/4/16","Gravis Marketing","B-",1184,"rv",47,44,48858,76454,"WI"
"47","Washington","11/1/16","SurveyUSA","A",681,"lv",50,38,48365,75831,"WA"
"48","Virginia","11/2/16","Gravis Marketing","B-",1362,"rv",47,42,48772,76355,"VA"
"49","Wisconsin","10/31/16","Public Policy Polling","B+",891,"lv",48,41,48330,75703,"WI"
"50","California","10/26/16","Greenberg Quinlan Rosner/American Viewpoint","B+",1382,"lv",54,30,48321,75803,"CA"
"51","Georgia","10/31/16","Marist College","A",707,"lv",44,45,48209,75507,"GA"
"52","California","10/29/16","SurveyUSA","A",747,"lv",56,35,48011,75087,"CA"
"53","Florida","11/4/16","SurveyMonkey","C-",4092,"lv",47,45,48869,76559,"FL"
"54","Texas","10/31/16","Marist College","A",679,"lv",40,49,48210,75508,"TX"
"55","Missouri","10/31/16","Remington","",1722,"lv",39,52,48186,75458,"MO"
"56","Arizona","10/30/16","Saguaro Strategies","",2229,"lv",45,44,48185,75456,"AZ"
"57","Utah","11/4/16","YouGov","B",762,"lv",23,40,48684,76247,"UT"
"58","Colorado","11/3/16","Public Policy Polling","B+",704,"lv",48,43,48347,75739,"CO"
"59","Virginia","11/4/16","Hampton University","B",802,"lv",45,41,48685,76257,"VA"
"60","Utah","11/1/16","Emerson College","B",1000,"lv",19.6,39.8,48196,75478,"UT"
"61","North Carolina","11/4/16","SurveyMonkey","C-",3126,"lv",48,41,48893,76583,"NC"
"62","Texas","11/4/16","SurveyMonkey","C-",3009,"lv",43,46,48903,76593,"TX"
"63","Michigan","11/4/16","SurveyMonkey","C-",3145,"lv",44,42,48882,76572,"MI"
"64","North Carolina","11/2/16","Gravis Marketing","B-",1250,"rv",46,45,48773,76356,"NC"
"65","Missouri","11/4/16","Emerson College","B",750,"lv",40.5,46.5,48518,76054,"MO"
"66","Ohio","11/4/16","SurveyMonkey","C-",2860,"lv",42,45,48895,76585,"OH"
"67","Pennsylvania","11/4/16","SurveyMonkey","C-",2845,"lv",46,43,48898,76588,"PA"
"68","Pennsylvania","10/29/16","CNN/Opinion Research Corp.","A-",799,"lv",48,44,48090,75243,"PA"
"69","Colorado","11/4/16","SurveyMonkey","C-",2777,"lv",43,40,48865,76555,"CO"
"70","New Mexico","11/1/16","Gravis Marketing","B-",1327,"rv",45,37,48775,76358,"NM"
"71","California","11/4/16","SurveyMonkey","C-",2712,"lv",56,31,48864,76554,"CA"
"72","Nevada","10/29/16","CNN/Opinion Research Corp.","A-",790,"lv",43,49,48089,75239,"NV"
"73","Arizona","11/4/16","SurveyMonkey","C-",2609,"lv",45,42,48862,76552,"AZ"
"74","Georgia","11/6/16","Trafalgar Group","C",1250,"lv",45.11,51.58,48770,76353,"GA"
"75","Arizona","10/29/16","CNN/Opinion Research Corp.","A-",769,"lv",44,49,48087,75231,"AZ"
"76","New Hampshire","10/31/16","Public Policy Polling","B+",781,"lv",48,43,48327,75700,"NH"
"77","Georgia","11/4/16","SurveyMonkey","C-",2419,"lv",45,45,48870,76560,"GA"
"78","Michigan","11/6/16","Trafalgar Group","C",1200,"lv",46.82,48.52,48686,76258,"MI"
"79","Florida","10/29/16","CNN/Opinion Research Corp.","A-",773,"lv",49,47,48088,75235,"FL"
"80","Utah","10/30/16","Gravis Marketing","B-",1424,"rv",29,35,48357,75794,"UT"
"81","Wisconsin","11/4/16","SurveyMonkey","C-",2246,"lv",44,42,48909,76599,"WI"
"82","Virginia","11/4/16","SurveyMonkey","C-",2183,"lv",49,41,48906,76596,"VA"
"83","Florida","11/1/16","Gravis Marketing","B-",1220,"rv",46,45,48776,76359,"FL"
"84","New York","11/4/16","SurveyMonkey","C-",2208,"lv",57,32,48892,76582,"NY"
"85","North Carolina","10/29/16","SurveyUSA","A",659,"lv",44,51,48008,75083,"NC"
"86","Michigan","11/2/16","Gravis Marketing","B-",1079,"rv",46,41,48774,76357,"MI"
"87","Florida","11/6/16","Trafalgar Group","C",1100,"lv",46.13,49.72,48624,76179,"FL"
"88","North Carolina","10/25/16","Marist College","A",780,"lv",47,41,47775,74766,"NC"
"89","Florida","10/26/16","Siena College","A",815,"lv",42,46,47771,74761,"FL"
"90","Utah","11/4/16","Trafalgar Group","C",1350,"lv",29.52,39.95,48487,75993,"UT"
"91","Florida","10/25/16","Marist College","A",779,"lv",45,44,47776,74770,"FL"
"92","Illinois","11/4/16","SurveyMonkey","C-",1823,"lv",52,35,48873,76563,"IL"
"93","Iowa","11/1/16","RABA Research","C+",1076,"lv",41,44,48264,75594,"IA"
"94","Pennsylvania","11/4/16","Trafalgar Group","C",1300,"lv",46.51,48.43,48629,76191,"PA"
"95","Iowa","11/4/16","SurveyMonkey","C-",1781,"lv",38,47,48875,76565,"IA"
"96","Indiana","11/4/16","SurveyMonkey","C-",1700,"lv",35,52,48874,76564,"IN"
"97","South Carolina","11/4/16","SurveyMonkey","C-",1698,"lv",43,47,48900,76590,"SC"
"98","Florida","10/22/16","Selzer & Company","A+",805,"lv",43,45,47469,74257,"FL"
"99","Nevada","10/31/16","Public Policy Polling","B+",688,"lv",48,45,48328,75701,"NV"
"100","Michigan","11/2/16","EPIC-MRA","A-",600,"lv",42,38,48335,75719,"MI"
"101","Oregon","11/4/16","SurveyMonkey","C-",1595,"lv",50,35,48897,76587,"OR"
"102","Pennsylvania","10/24/16","Siena College","A",824,"lv",46,39,47551,74386,"PA"
"103","Nevada","11/4/16","Emerson College","B",600,"lv",46.8,45.6,48517,76053,"NV"
"104","Missouri","10/27/16","BK Strategies","",1698,"lv",39,53,47860,74895,"MO"
"105","Utah","11/4/16","SurveyMonkey","C-",1479,"lv",31,34,48904,76594,"UT"
"106","New Hampshire","11/1/16","Gravis Marketing","B-",1001,"rv",41,43,48338,75724,"NH"
"107","California","10/18/16","Public Policy Institute of California","A",1024,"lv",54,28,47545,74374,"CA"
"108","Ohio","10/31/16","Columbus Dispatch","C+",1151,"lv",48,47,48479,75971,"OH"
"109","Tennessee","11/4/16","SurveyMonkey","C-",1433,"lv",41,49,48902,76592,"TN"
"110","Washington","11/4/16","SurveyMonkey","C-",1451,"lv",51,33,48907,76597,"WA"
"111","Colorado","10/27/16","YouGov","B",997,"lv",42,39,47780,74790,"CO"
"112","Arizona","10/27/16","YouGov","B",994,"lv",42,44,47778,74788,"AZ"
"113","Iowa","11/2/16","Emerson College","B",700,"lv",41,44,48331,75711,"IA"
"114","North Carolina","10/27/16","YouGov","B",992,"lv",48,45,47779,74789,"NC"
"115","Connecticut","11/4/16","SurveyMonkey","C-",1387,"lv",52,36,48866,76556,"CT"
"116","Massachusetts","11/4/16","SurveyMonkey","C-",1378,"lv",56,30,48881,76571,"MA"
"117","New Jersey","11/4/16","SurveyMonkey","C-",1377,"lv",52,37,48890,76580,"NJ"
"118","Colorado","11/2/16","Keating Research, Inc.","B",605,"lv",43,38,48356,75793,"CO"
"119","Missouri","11/4/16","SurveyMonkey","C-",1368,"lv",40,48,48885,76575,"MO"
"120","Kansas","10/28/16","SurveyUSA","A",624,"lv",38,49,48076,75206,"KS"
"121","Kentucky","11/4/16","SurveyMonkey","C-",1315,"lv",35,54,48877,76567,"KY"
"122","Kansas","11/4/16","SurveyMonkey","C-",1311,"lv",36,49,48876,76566,"KS"
"123","Minnesota","11/4/16","SurveyMonkey","C-",1292,"lv",46,39,48883,76573,"MN"
"124","Florida","11/5/16","Opinion Savvy/InsiderAdvantage","C-",843,"lv",48.4,46.4,48625,76180,"FL"
"125","Oklahoma","11/4/16","SurveyMonkey","C-",1271,"lv",32,57,48896,76586,"OK"
"126","New Mexico","11/2/16","Research & Polling, Inc.","A",504,"lv",45,40,48476,75967,"NM"
"127","Nevada","11/2/16","Trafalgar Group","C",1100,"lv",45.01,49.61,48473,75963,"NV"
"128","Texas","11/1/16","Emerson College","B",700,"lv",34.5,49.2,48195,75477,"TX"
"129","Pennsylvania","10/29/16","Quinnipiac University","A-",612,"lv",48,43,48101,75308,"PA"
"130","Maryland","11/4/16","SurveyMonkey","C-",1216,"lv",59,28,48880,76570,"MD"
"131","Nevada","11/4/16","SurveyMonkey","C-",1207,"lv",45,43,48888,76578,"NV"
"132","New Hampshire","10/30/16","University of Massachusetts Lowell","B",695,"lv",44,44,48263,75589,"NH"
"133","Arizona","10/30/16","The Times-Picayune/Lucid","",1113,"lv",41,42,48102,75313,"AZ"
"134","Ohio","11/1/16","TargetSmart/William & Mary","",844,"lv",40,43,48496,76002,"OH"
"135","Colorado","11/1/16","Trafalgar Group","C",1150,"lv",44.77,44.33,48344,75734,"CO"
"136","Indiana","11/2/16","Public Opinion Strategies","B",600,"lv",37,48,48333,75722,"IN"
"137","Alabama","11/4/16","SurveyMonkey","C-",1131,"lv",36,55,48860,76550,"AL"
"138","Ohio","10/29/16","Quinnipiac University","A-",589,"lv",41,46,48100,75307,"OH"
"139","Virginia","10/29/16","Emerson College","B",800,"lv",49,45,47877,74930,"VA"
"140","Pennsylvania","10/31/16","Susquehanna Polling & Research, Inc.","B-",681,"lv",45,43,48086,75228,"PA"
"141","Colorado","10/29/16","Emerson College","B",750,"lv",44,41,48079,75215,"CO"
"142","New Hampshire","10/22/16","Marist College","A",768,"lv",45,36,47539,74346,"NH"
"143","New Jersey","10/30/16","Stockton College","B",678,"lv",51,40,48323,75695,"NJ"
"144","Nebraska","11/4/16","SurveyMonkey","C-",988,"lv",35,52,48887,76577,"NE"
"145","Louisiana","11/4/16","SurveyMonkey","C-",982,"lv",38,52,48878,76568,"LA"
"146","Maine","10/29/16","Emerson College","B",750,"lv",46,42,47879,74932,"ME"
"147","Iowa","10/23/16","Quinnipiac University","A-",791,"lv",44,44,47618,74522,"IA"
"148","Colorado","10/30/16","The Times-Picayune/Lucid","",972,"lv",44,37,48103,75314,"CO"
"149","Virginia","10/26/16","Winthrop University","",712,"lv",44,39,48074,75204,"VA"
"150","Pennsylvania","10/28/16","Franklin & Marshall College","B+",652,"lv",49,38,47876,74927,"PA"
"151","Arizona","10/29/16","Emerson College","B",700,"lv",43,47,48078,75214,"AZ"
"152","Minnesota","10/24/16","SurveyUSA","A",656,"lv",49,39,47712,74694,"MN"
"153","Arkansas","11/4/16","SurveyMonkey","C-",930,"lv",32,56,48863,76553,"AR"
"154","Texas","10/28/16","Dixie Strategies","C+",980,"lv",39.39,51.53,47993,75052,"TX"
"155","Alaska","11/4/16","Gravis Marketing","B-",617,"rv",41,44,48849,76445,"AK"
"156","Virginia","10/23/16","Quinnipiac University","A-",749,"lv",50,38,47620,74524,"VA"
"157","Nevada","10/30/16","The Times-Picayune/Lucid","",892,"lv",45,38,48104,75315,"NV"
"158","Nevada","10/22/16","Marist College","A",707,"lv",43,43,47540,74347,"NV"
"159","Texas","10/21/16","YouGov","B",1031,"lv",43,46,47237,73920,"TX"
"160","Florida","10/22/16","University of North Florida","B+",819,"lv",43,39,47549,74383,"FL"
"161","Arizona","11/5/16","Data Orbital","",550,"lv",44,47,48628,76380,"AZ"
"162","Kentucky","10/27/16","Cygnal Political","",811,"lv",32,56,47792,74812,"KY"
"163","Florida","10/25/16","Public Policy Polling","B+",742,"lv",48,44,47637,74560,"FL"
"164","New Hampshire","10/30/16","MassINC Polling Group","A-",500,"lv",39,40,48128,75395,"NH"
"165","Utah","10/31/16","Monmouth University","A+",402,"lv",31,37,48191,75470,"UT"
"166","Georgia","10/29/16","Emerson College","B",650,"lv",42,51,48080,75216,"GA"
"167","North Carolina","10/29/16","Trafalgar Group","C",1150,"lv",44.16,49.13,48122,75385,"NC"
"168","Pennsylvania","11/1/16","Muhlenberg College","A",405,"lv",44,40,48469,75953,"PA"
"169","Georgia","10/26/16","SurveyUSA","A",683,"rv",42,49,47785,74803,"GA"
"170","Vermont","10/25/16","Political Marketing International, Inc./Red Racing Horses","B-",1052,"lv",52,26,47640,74563,"VT"
"171","South Carolina","10/30/16","Starboard Communications","",600,"lv",36,47,48627,76184,"SC"
"172","Maine","11/4/16","SurveyMonkey","C-",779,"lv",46,38,48879,76569,"ME"
