treatment,victim.status,voted_2000,voted_2002,fam.members,age,party,sex,pct.white,median.income
0,2,N,0,1,32,D,F,0.911583006,33258
1,3,Y,1,4,50,N,F,0.916064024,166361
1,3,Y,1,4,50,N,M,0.916064024,166361
0,3,A,1,1,62,N,F,0.919984996,200001
0,3,N,0,1,84,D,F,0.905417979,39688
0,3,N,0,1,86,D,F,0.943654001,31961
0,3,Y,1,2,59,D,F,0.943654001,31961
0,3,Y,1,2,61,D,M,0.943654001,31961
0,3,Y,0,1,42,N,F,0.883898973,37245
0,3,Y,1,3,75,D,M,0.94867301,53311
0,3,Y,0,3,78,D,F,0.94867301,53311
0,3,Y,1,2,65,D,F,0.737429976,71667
0,2,N,0,3,67,N,M,0.954315007,45104
0,2,Y,1,3,66,N,F,0.954315007,45104
0,2,Y,1,3,45,N,F,0.954315007,45104
0,3,Y,1,2,56,D,F,0.88754499,100685
0,3,N,0,2,47,D,M,0.94867301,53311
0,3,N,0,2,42,D,F,0.94867301,53311
0,3,Y,0,3,46,N,M,0.94867301,53311
0,3,N,0,2,24,N,F,0.867847025,46591
0,3,Y,0,1,34,N,F,0.883898973,37245
0,3,Y,1,3,56,N,F,0.88754499,100685
0,3,Y,1,3,63,N,M,0.88754499,100685
0,3,Y,1,1,68,N,F,0.88754499,100685
1,3,Y,1,2,70,D,F,0.853215992,87272
0,3,Y,1,2,64,N,M,0.837392986,102485
0,3,Y,0,2,61,N,F,0.837392986,102485
0,3,Y,1,2,69,D,M,0.737429976,71667
0,2,N,0,1,56,N,F,0.987966001,30057
0,3,Y,1,4,66,D,F,0.853215992,87272
0,3,Y,1,4,70,N,M,0.853215992,87272
0,3,N,0,2,89,N,M,0.932277024,80403
0,3,Y,0,1,78,D,M,0.786831975,54755
1,3,N,0,2,88,N,M,0.655826986,53365
0,2,Y,1,1,47,N,F,0.983042002,31422
0,3,Y,1,1,74,N,F,0.987966001,30057
0,3,Y,1,1,65,N,F,0.987966001,30057
0,3,Y,1,2,58,N,M,0.987966001,30057
0,3,Y,1,2,54,N,F,0.987966001,30057
0,3,N,0,1,84,N,F,0.924923003,55579
0,3,Y,1,1,63,N,M,0.980488002,28281
0,3,Y,1,2,73,D,M,0.916064024,166361
0,3,Y,1,2,70,D,F,0.916064024,166361
0,3,Y,1,3,58,D,F,0.916064024,166361
0,3,Y,0,1,87,D,F,0.916064024,166361
0,2,Y,0,3,55,N,F,0.916064024,166361
