name,state,year,treated,socialist_voteshare
SELZTHAL,STYRIA,1983,1,0.8514107
GOLLING/ERLAUF,LOWERAUSTRIA,1983,0,0.8360656
SELZTHAL,STYRIA,1986,1,0.8249052
GOLLING/ERLAUF,LOWERAUSTRIA,1990,0,0.8237585
GOLLING/ERLAUF,LOWERAUSTRIA,1986,0,0.8134111
SELZTHAL,STYRIA,1990,1,0.8100264
VEITSCH,STYRIA,1983,1,0.8052147
BUERMOOS,SALZBURG,1983,0,0.803902
HIEFLAU,STYRIA,1983,1,0.7948718
BAD BLEIBERG,CARINTHIA,1983,1,0.7868043
KLEIN-NEUSIEDL,LOWERAUSTRIA,1983,0,0.7867528
ROSENTAL/KAINACH,STYRIA,1983,1,0.7866848
VORDERNBERG,STYRIA,1983,1,0.7833787
KLEIN-NEUSIEDL,LOWERAUSTRIA,1986,0,0.7772109
TRIEBEN,STYRIA,1983,1,0.776915
VEITSCH,STYRIA,1986,1,0.7749245
BAD GROSSPERTHOLZ,LOWERAUSTRIA,1983,0,0.7704812
RABENSBURG,LOWERAUSTRIA,1983,0,0.7685493
RABENSBURG,LOWERAUSTRIA,1990,0,0.7655678
KAPFENBERG,STYRIA,1983,1,0.7652881
NEUTAL,BURGENLAND,1983,0,0.7636595
EISENERZ,STYRIA,1983,1,0.76263
MUERZSTEG,STYRIA,1983,1,0.76
LIMBERG/WIES,STYRIA,1983,1,0.7571885
SELZTHAL,STYRIA,1994,1,0.7536033
MANNERSDORF/LEITHAGEBIRGE,LOWERAUSTRIA,1983,0,0.7527174
BRAND-NAGELBERG,LOWERAUSTRIA,1986,0,0.7506649
WIMPASSING/SCHWARZATALE,LOWERAUSTRIA,1983,0,0.7503817
TERNITZ,LOWERAUSTRIA,1983,0,0.7501363
VEITSCH,STYRIA,1990,1,0.7501
DIETMANNS,LOWERAUSTRIA,1983,0,0.75
RABENSBURG,LOWERAUSTRIA,1986,0,0.75
HIRTENBERG,LOWERAUSTRIA,1983,0,0.7492712
NEUTAL,BURGENLAND,1986,0,0.7473958
TRIEBEN,STYRIA,1986,1,0.7464213
NEUTAL,BURGENLAND,1990,0,0.7460938
RETZNEI,STYRIA,1983,1,0.7460318
AMALIENDORF-AALFANG,LOWERAUSTRIA,1983,0,0.7450981
THURN,TYROL,1986,1,0.7448276
BAERNBACH,STYRIA,1983,1,0.7426702
LENZIG,UPPERAUSTRIA,1983,0,0.7425204
BRUCKNEUDORF,BURGENLAND,1983,0,0.7418818
BUERMOOS,SALZBURG,1990,0,0.7411243
WEPPERSDORF,BURGENLAND,1983,0,0.7392013
KLEIN-NEUSIEDL,LOWERAUSTRIA,1990,0,0.7387687
