"","name","state","year","treated","socialist_voteshare"
"1","ABSAM","TYROL",1986,1,0.347607
"2","ABSAM","TYROL",1994,1,0.2723125
"3","ABSAM","TYROL",1983,1,0.4072663
"4","ABSAM","TYROL",1990,1,0.3545076
"5","ABSDORF","LOWERAUSTRIA",1990,0,0.5391949
"6","ABSDORF","LOWERAUSTRIA",1986,0,0.5165775
"7","ABSDORF","LOWERAUSTRIA",1983,0,0.528616
"8","ABSDORF","LOWERAUSTRIA",1994,0,0.4480874
"9","ABTENAU","SALZBURG",1990,0,0.3888889
"10","ABTENAU","SALZBURG",1983,0,0.4100391
"11","ABTENAU","SALZBURG",1986,0,0.3692653
"12","ABTENAU","SALZBURG",1994,0,0.3522727
"13","ACHAU","LOWERAUSTRIA",1983,0,0.6205212
"14","ACHAU","LOWERAUSTRIA",1990,0,0.5789474
"15","ACHAU","LOWERAUSTRIA",1986,0,0.5883362
"16","ACHAU","LOWERAUSTRIA",1994,0,0.4408451
"17","ACHENKIRCH","TYROL",1983,1,0.3193202
"18","ACHENKIRCH","TYROL",1994,1,0.2398058
"19","ACHENKIRCH","TYROL",1986,1,0.2428571
"20","ACHENKIRCH","TYROL",1990,1,0.268501
"21","ADERKLAA","LOWERAUSTRIA",1994,0,0.030303
"22","ADERKLAA","LOWERAUSTRIA",1983,0,0.075
"23","ADERKLAA","LOWERAUSTRIA",1990,0,0.0578512
"24","ADERKLAA","LOWERAUSTRIA",1986,0,0.0672269
"25","ADLWANG","UPPERAUSTRIA",1986,0,0.2369427
"26","ADLWANG","UPPERAUSTRIA",1983,0,0.2777053
"27","ADLWANG","UPPERAUSTRIA",1994,0,0.1689977
"28","ADLWANG","UPPERAUSTRIA",1990,0,0.2575058
"29","ADMONT","STYRIA",1983,1,0.5579268
"30","ADMONT","STYRIA",1994,1,0.4201586
"31","ADMONT","STYRIA",1990,1,0.5061728
"32","ADMONT","STYRIA",1986,1,0.5115325
"33","ADNET","SALZBURG",1990,0,0.380748
"34","ADNET","SALZBURG",1983,0,0.4191951
"35","ADNET","SALZBURG",1986,0,0.3705674
"36","ADNET","SALZBURG",1994,0,0.2924791
"37","AFIESL","UPPERAUSTRIA",1994,0,0.2614108
"38","AFIESL","UPPERAUSTRIA",1990,0,0.3884615
"39","AFIESL","UPPERAUSTRIA",1986,0,0.3176471
"40","AFIESL","UPPERAUSTRIA",1983,0,0.3415638
"41","AFLENZ LAND","STYRIA",1994,1,0.3870387
"42","AFLENZ LAND","STYRIA",1983,1,0.5473485
"43","AFLENZ LAND","STYRIA",1990,1,0.4568889
"44","AFLENZ LAND","STYRIA",1986,1,0.4919065
"45","AGGSBACH","LOWERAUSTRIA",1983,0,0.5576132
"46","AGGSBACH","LOWERAUSTRIA",1994,0,0.4576659
"47","AGGSBACH","LOWERAUSTRIA",1990,0,0.55
"48","AGGSBACH","LOWERAUSTRIA",1986,0,0.5683761
"49","AHORN","UPPERAUSTRIA",1994,0,0.1962617
