"","name","state","treated","y1986","y1994","y1983","y1990"
"1","ABSAM","TYROL",1,0.347607,0.2723125,0.4072663,0.3545076
"2","ABSDORF","LOWERAUSTRIA",0,0.5165775,0.4480874,0.528616,0.5391949
"3","ABTENAU","SALZBURG",0,0.3692653,0.3522727,0.4100391,0.3888889
"4","ACHAU","LOWERAUSTRIA",0,0.5883362,0.4408451,0.6205212,0.5789474
"5","ACHENKIRCH","TYROL",1,0.2428571,0.2398058,0.3193202,0.268501
"6","ADERKLAA","LOWERAUSTRIA",0,0.0672269,0.030303,0.075,0.0578512
"7","ADLWANG","UPPERAUSTRIA",0,0.2369427,0.1689977,0.2777053,0.2575058
"8","ADMONT","STYRIA",1,0.5115325,0.4201586,0.5579268,0.5061728
"9","ADNET","SALZBURG",0,0.3705674,0.2924791,0.4191951,0.380748
"10","AFIESL","UPPERAUSTRIA",0,0.3176471,0.2614108,0.3415638,0.3884615
"11","AFLENZ LAND","STYRIA",1,0.4919065,0.3870387,0.5473485,0.4568889
"12","AGGSBACH","LOWERAUSTRIA",0,0.5683761,0.4576659,0.5576132,0.55
"13","AHORN","UPPERAUSTRIA",0,0.2418301,0.1962617,0.2363014,0.2664671
"14","AIBL","STYRIA",1,0.3662109,0.3124378,0.4414946,0.3590476
"15","AICH","STYRIA",1,0.2822967,0.2182628,0.3208431,0.2893519
"16","AICHKIRCHEN","UPPERAUSTRIA",0,0.1423611,0.1456954,0.1627119,0.1517241
"17","AIGEN/ENNSTAL","STYRIA",1,0.442602,0.3322497,0.5116434,0.4152271
"18","AIGEN/MUEHLKREIS","UPPERAUSTRIA",0,0.3107296,0.2960526,0.3506045,0.3279279
"19","AISTERSHEIM","UPPERAUSTRIA",0,0.3269231,0.2346939,0.3309524,0.3224181
"20","ALBECK","CARINTHIA",1,0.3806276,0.2789634,0.4026163,0.3381295
"21","ALBERNDORF/PULKAUTAL","LOWERAUSTRIA",0,0.3762136,0.3357488,0.4554456,0.423445
"22","ALBERNDORF/RIEDMARK","UPPERAUSTRIA",0,0.2978022,0.2722748,0.3293627,0.3055118
"23","ALBERSCHWENDE","VORARLBERG",1,0.0943276,0.081363,0.1005326,0.1233886
"24","ALBERSDORF-PREBUCH","STYRIA",1,0.3085774,0.2448133,0.3640212,0.3008048
"25","ALBRECHTSBERG/GR.KREMS","LOWERAUSTRIA",0,0.3510101,0.2961433,0.3963731,0.3595041
"26","ALDRANS","TYROL",1,0.1993671,0.1431557,0.2370787,0.1924975
"27","ALKOVEN","UPPERAUSTRIA",0,0.5430418,0.4449223,0.593962,0.5357143
"28","ALLAND","LOWERAUSTRIA",0,0.4168656,0.3288217,0.4632637,0.4096199
"29","ALLENTSTEIG","LOWERAUSTRIA",0,0.3261877,0.2758621,0.3560948,0.3298137
"30","ALLERHEILIGEN/MUEHLKREIS","UPPERAUSTRIA",0,0.3941177,0.3478261,0.4130435,0.387292
"31","ALLERHEILIGEN/MUERZTAL","STYRIA",1,0.5453184,0.455467,0.5438461,0.5446361
"32","ALLERHEILIGEN/WILDON","STYRIA",1,0.2179803,0.2065344,0.2487624,0.2456576
"33","ALLHAMING","UPPERAUSTRIA",0,0.3058568,0.2900188,0.304038,0.3307241
"34","ALLHARTSBERG","LOWERAUSTRIA",0,0.2309179,0.2296564,0.2552343,0.2637979
"35","ALPBACH","TYROL",1,0.0634417,0.0862832,0.0799347,0.1302652
"36","ALSERGRUND","VIENNA",0,0.4092937,0.2858247,0.4430855,0.3969083
