commune,year,kontakt,burgle,violentcrime,violentcrime_rate,drug_smuggling,drug_total,drug_trafficking,murder,murderrate,age1565,lowbracket,id,pop,pctforeign,cAdmin,cEducationCulture,cHospitalHealthInsurance,cHousing,cMainAccounts,cSocialHealth,cTrafficInfrastructure,cUtilities,delta_eSocialHealth,eAdmin,eAdminhead,eEducationCulture,eEducationhead,eHospitalHealthInsurance,eHousing,eHousinghead,eMainAccounts,g_social,eSocialhead,eTotalhead,eTrafficInfrastructure,eTraffichead,eUtilities,eUtilitieshead,esocial_head,eutilhead,lowincome,lowincome_rate,pct_runningcons_social,rAdmin,rEducationCulture,rHospitalHealthInsurance,rHousing,rMainAccounts,rSocialHealth,rTrafficInfrastructure,rUtilities,sd_share,sd_share_foreign,seatsCDP,seatsCPP,seatsCoPP,seatsDPP,seatsDR,seatsLDP,seatsPP,seatsSDP,seatsSLP,seatsSPP,seatsSlesvig,seatsUL,seatsmisc,social_head,totalseats,unemp_rate,unemployed,g_social_head,lowbracket_rate,c_social_head,d_c_social_head,g_housing_head,g_admin_head,g_education_head,g_utilities_head,g_traffic_head,pct1565,crime_vtheft
Aabenraa,2004,51326,116,106,4.80921936,0,8,8,0,0,15588,1174,Aabenraa,22041,0.053718071,0,1657,0,-2446,14664,6289,4233,4931,37801,98506,4.469216347,165686,7.517172337,0,11974,0.543260276,915051,627628000,28.47547722,41.5158577,20510,0.930538535,-9253,-0.419808537,28.47547722,-0.419808537,8523,0.386688441,0.623006701,0,-1324,0,0,-156889,-155288,-277,0,0.380952388,0.020464027,0,0,3,1,0,6,0,8,0,1,1,0,1,28.47547722,21,0.038609862,851,28475478,0.053264372,21715394,20051148,543260.3125,4469216.5,7517172.5,-419808.5313,930538.5625,0.707227468,222
Aabybro,2004,15907,33,12,1.060351729,0,2,2,0,0,7973,563,Aabybro,11317,0.022885924,187,2296,0,4258,15983,689,4282,4271,13946,42337,3.741008997,104969,9.275338173,0,8445,0.746222496,388359,230863000,20.39966393,34.31642532,9149,0.808429778,-7404,-0.654236972,20.39966393,-0.654236972,4101,0.3623752,0.530312419,0,-370,0,0,-53826,-53456,0,0,0.294117659,0.006731154,0,0,0,0,0,9,0,5,0,2,0,0,1,20.39966393,17,0.043827869,496,20399664,0.049748167,15737033,14530962,746222.5,3741009,9275338,-654237,808429.8125,0.704515338,45
Aalborg,2004,543531,789,584,3.577751875,0,35,35,1,6.13E-06,118579,7828,Aalborg,163231,0.046186078,3735,78496,0,-59828,221293,42947,42145,113798,220627,701354,4.296696186,1378243,8.443512917,0,153662,0.94137758,6553318,4373488000,26.79324341,40.14751053,147187,0.901709855,-200616,-1.229031205,26.79324341,-1.229031205,54986,0.336860031,0.598776042,0,-5333,0,-32,-1134185,-1128641,-179,0,0.387096763,0.017878482,0,1,3,2,0,9,0,12,1,3,0,0,0,26.79324341,31,0.04768702,7784,26793244,0.047956578,20141968,18598308,941377.5625,4296696,8443513,-1229031.25,901709.875,0.726449013,1373
Aalestrup,2004,16589,75,15,1.968245745,0,0,0,0,0,5096,508,Aalestrup,7621,0.028998818,0,377,0,226,8029,4111,0,3315,9106,31993,4.198005676,71028,9.320036888,0,8843,1.160346389,296293,179713000,23.58128929,38.87849426,8326,1.092507601,-3610,-0.473691106,23.58128929,-0.473691106,2853,0.374360323,0.533739984,0,-15,0,0,-46293,-46278,0,0,0.266666681,0.007733019,0,0,0,0,0,6,0,4,0,0,0,0,5,23.58128929,15,0.02755544,210,23581288,0.066657916,18048290,16665087,1160346.375,4198005.5,9320037,-473691.125,1092507.5,0.668678641,90
Aars,2004,24337,126,28,2.101786375,0,0,0,0,0,9067,768,Aars,13322,0.029349947,1764,31927,0,5286,94043,43508,4766,6792,18160,56977,4.276910305,122578,9.201170921,0,12370,0.928539276,504837,310429000,23.30198097,37.8949852,8139,0.610944331,-5656,-0.424560875,23.30198097,-0.424560875,5580,0.418856025,0.546081126,0,0,0,0,-76549,-76549,0,0,0.210526317,0.006178936,0,0,6,0,0,7,0,4,0,0,0,0,2,23.30198097,19,0.029425012,392,23301982,0.057649001,20821798,19226036,928539.25,4276910.5,9201171,-424560.875,610944.3125,0.680603504,154
Aarup,2004,9339,35,3,0.55350554,0,0,0,0,0,3666,321,Aarup,5420,0.026199263,153,15370,0,162,22449,-1278,216,7826,7989,26753,4.935977936,50772,9.367527962,0,5285,0.975092232,216936,131740000,24.30627251,40.02509308,5701,1.051845074,-3315,-0.611623645,24.30627251,-0.611623645,2222,0.409963101,0.537787974,0,-83,0,-23,-32843,-32737,0,0,0.333333343,0.008733088,0,0,2,1,0,5,0,5,1,0,0,0,1,24.30627251,15,0.025461255,138,24306274,0.059225094,18030444,16648608,975092.25,4935978,9367528,-611623.625,1051845,0.676383793,38
Albertslund,2004,140094,227,164,5.754789829,2,5,3,0,0,21054,1800,Albertslund,28498,0.10586708,0,26301,0,16169,94182,33438,0,18274,6561,162100,5.688118458,368567,12.93308258,0,44947,1.577198386,1491500,892672000,31.32402229,52.33700562,28875,1.013229012,-5661,-0.198645517,31.32402229,-0.198645517,11769,0.412976354,0.525896072,0,-982,0,0,-230498,-229516,0,0,0.523809552,0.055454187,0,0,2,2,0,2,0,11,0,3,0,1,0,31.32402229,21,0.035581443,1014,31324022,0.063162327,24443610,22570276,1577198.375,5688118.5,12933083,-198645.5156,1013229,0.738788664,391
Allerød,2004,25800,177,52,2.219850779,0,0,0,0,0,16190,1368,Allerød,23425,0.033895411,1795,18064,0,18181,60591,1860,13581,7110,32419,116319,4.965592384,254624,10.86975479,0,21584,0.921408772,868374,458812000,19.58642387,37.07039642,24196,1.032913566,-7161,-0.30569905,19.58642387,-0.30569905,8946,0.381899685,0.481343508,0,-814,0,0,-80284,-79470,0,0,0.142857149,0.004842202,0,0,6,0,0,6,0,3,1,4,0,0,1,19.58642387,21,0.018441835,432,19586424,0.058399145,16273298,15026128,921408.75,4965592.5,10869755,-305699.0313,1032913.563,0.691141963,229
Arden,2004,18143,27,15,1.755823493,0,0,0,1,0.000117055,5772,538,Arden,8543,0.025400912,1194,2645,0,-499,38887,27077,4951,3519,7588,33182,3.884115696,80488,9.421514511,0,3574,0.418354213,319035,199476000,23.34964371,37.34460831,7073,0.827929318,-4758,-0.556947231,23.34964371,-0.556947231,3313,0.387802869,0.553513348,0,-37,0,-6,-51354,-51311,0,0,0.466666669,0.011853759,0,0,0,0,0,5,0,7,0,0,0,0,3,23.34964371,15,0.034648251,296,23349642,0.062975533,20512934,18940842,418354.2188,3884115.75,9421515,-556947.1875,827929.3125,0.675640881,42
Assens,2004,33662,43,48,4.438280106,0,2,2,0,0,7388,591,Assens,10815,0.037263062,36,39745,0,2386,55572,9372,473,3560,19154,50340,4.654646397,92525,8.555247307,0,8519,0.787702262,462761,307779000,28.45853043,42.78881073,7857,0.726490974,-4259,-0.393804908,28.45853043,-0.393804908,4340,0.4012945,0.588389337,0,-335,0,-9,-87071,-86727,0,0,0.466666669,0.01738943,0,0,2,1,0,5,0,7,0,0,0,0,0,28.45853043,15,0.03809524,412,28458530,0.054646324,21305962,19673094,787702.25,4654646.5,8555247,-393804.9063,726491,0.683125317,91
Augustenborg,2004,8494,10,16,2.423141003,0,0,0,0,0,4547,347,Augustenborg,6603,0.026805997,12,1093,0,-1418,7916,155,211,7863,5417,29086,4.404967308,57903,8.769195557,0,4362,0.660608828,228296,132955000,20.13554382,34.57458878,7492,1.134635806,-3502,-0.53036499,20.13554382,-0.53036499,2412,0.365288496,0.519150078,0,0,0,0,-30020,-30020,0,0,0.307692319,0.008247999,0,0,2,0,0,4,0,4,0,0,0,0,3,20.13554382,13,0.020899592,138,20135544,0.052551869,15612601,14416067,660608.8125,4404967.5,8769196,-530365,1134635.75,0.688626409,26
Aulum-Haderup,2004,8196,24,8,1.195100188,0,0,0,0,0,4566,396,Aulum-Haderup,6694,0.023005677,0,531,0,1976,2868,299,0,62,4214,26019,3.886913538,50669,7.56931591,0,4385,0.655064225,232464,143967000,21.50687218,34.72721863,8387,1.252912998,-963,-0.143860176,21.50687218,-0.143860176,2825,0.42201972,0.564768136,0,0,0,0,-29131,-29131,0,0,0.200000003,0.004601135,0,1,2,0,0,7,0,3,0,0,0,0,2,21.50687218,15,0.027487302,184,21506872,0.059157453,17199732,15881561,655064.25,3886913.75,7569316,-143860.1719,1252913,0.682103395,32
