shareblue,sharewhite,sharedomestic,nvoter,nazivote,nunemployed
0.4667877,0.0751894,0.2372128,20724,8915,1566
0.37847,0.0886076,0.2710842,61024,20388,5134
0.2878295,0.061648,0.3718949,31741,9670,2176
0.4592575,0.0911449,0.2109423,67591,26634,6001
0.2782162,0.2976835,0.0748931,226176,100041,53049
0.3040565,0.0573774,0.3549705,30835,15255,2128
0.3878074,0.0623398,0.2956744,32939,15791,2302
0.4434049,0.0756757,0.2382536,57187,25943,4745
0.4367858,0.0648391,0.2766537,23404,13104,1200
0.4601309,0.1309826,0.1813811,30513,14507,3018
0.4132032,0.105162,0.2394123,27742,12908,2441
0.3717381,0.0688057,0.2864732,24094,11914,2211
0.2831101,0.0640032,0.3585345,26651,14212,1940
0.4097764,0.0852793,0.2737719,77067,37265,4545
0.2478628,0.3430067,0.0846176,27618,12047,5520
0.2944825,0.0574431,0.3799759,23822,14905,1168
0.304297,0.0657852,0.3543413,60257,33669,3230
0.3108632,0.1243952,0.248656,75824,37760,9809
0.2248127,0.040918,0.4366771,32778,12242,2622
0.299066,0.3009458,0.0946954,26276,9897,4568
0.2773802,0.0453745,0.4083705,30880,20064,2057
0.3383018,0.1241239,0.2989974,27263,16699,1485
0.2840862,0.0820404,0.3579912,34392,24055,2317
0.293051,0.0604749,0.3880389,22402,15859,1337
0.210789,0.0686571,0.4157796,41443,26633,3188
0.3459844,0.1009779,0.3075879,45140,23667,3375
0.2994225,0.071016,0.3392513,30589,9951,2804
0.3196492,0.0642523,0.3458771,31380,18794,2402
0.3742747,0.0330308,0.3238357,15984,7348,1157
0.3177672,0.1905067,0.0688474,51441,20623,16375
0.3758819,0.2074318,0.1588664,26777,12866,3438
0.3267086,0.1295535,0.2534074,26883,13982,3027
0.340372,0.1214526,0.280992,35805,20009,3078
0.4271273,0.0668939,0.2453353,22064,7215,2298
0.2684832,0.1679751,0.0600165,217223,64730,79866
0.3239763,0.1860494,0.0401612,436417,116065,154612
0.2609557,0.2400202,0.0674913,482382,144590,141099
0.3102945,0.2051328,0.0452016,310835,85388,103995
0.2791759,0.2421321,0.07638,224209,64143,61062
0.2219352,0.2794591,0.100528,282617,93032,68396
0.2966805,0.2472185,0.0665281,68885,23690,18913
0.3506291,0.2618101,0.0441378,110164,40750,28881
0.1914499,0.4029087,0.0992273,152720,63413,25544
0.3010733,0.2606631,0.0434994,341716,97601,101680
0.1455957,0.3335032,0.1520958,165226,53505,27089
0.1770285,0.362502,0.1972585,50393,17578,5059
0.2740383,0.2990902,0.0509739,107355,36939,29549
0.3092017,0.1953573,0.0372056,394885,100652,147287
0.3049828,0.2891063,0.040924,98065,30263,27345
0.4122514,0.0853601,0.2325393,44262,22484,4811
0.31113,0.2431306,0.0762581,22520,10011,5579
0.344462,0.1112867,0.2272904,55783,23946,8277
0.3634627,0.13705,0.1202144,133250,50241,30725
0.4191953,0.1067834,0.1701659,59534,25536,9236
0.4218344,0.1320884,0.1388711,147400,59041,25824
0.3904637,0.0729197,0.2856695,48447,28505,2534
0.3333696,0.2212294,0.1379551,159932,60740,27115
0.501682,0.0957899,0.172313,39840,20033,3896
0.3941918,0.2248559,0.0735284,20869,6936,3813
0.3712448,0.1039428,0.2525551,55076,28506,4831
0.438291,0.0765819,0.2213449,37861,16864,3610
0.3517494,0.0784064,0.2966786,42797,23359,2670
0.2543183,0.2933664,0.0789232,18503,7843,4192
0.3114193,0.0642091,0.3319548,69094,34521,5331
0.418831,0.0746871,0.2464002,29627,15920,2830
0.4155864,0.1080996,0.1931613,72754,29872,10468
0.3087181,0.0497445,0.3369016,39172,21291,3619
0.3139821,0.2540532,0.0817283,39907,17113,7573
0.2557263,0.071335,0.3375395,40141,22540,4724
0.5087331,0.1368109,0.0843651,28475,10764,4099
0.3027849,0.2773938,0.0808872,55582,28205,12028
0.29997,0.0682261,0.2970835,36828,21003,4598
0.3104661,0.0495092,0.3337713,31362,17586,2909
0.4483531,0.1614865,0.0836993,32126,12894,5889
0.3789565,0.1136166,0.2165998,66636,32142,8034
0.301386,0.0424083,0.3372965,37705,21246,3267
0.320112,0.2309308,0.0865803,31747,15055,7102
0.4016619,0.0937759,0.2230644,111611,49508,13065
0.2172329,0.0871289,0.3903119,22447,13750,1264
0.3199313,0.0780733,0.2820641,52158,25006,6471
0.3479219,0.0555224,0.3040643,28281,16042,2133
0.3946857,0.0655562,0.2658338,33158,18636,3146
0.3965236,0.0900524,0.223267,61282,29474,7389
0.4445358,0.1007401,0.1448282,29487,11202,5580
0.3753344,0.0582118,0.2887719,30709,15869,3176
0.3414956,0.0946801,0.2854488,41378,22936,3405
0.3578163,0.0850019,0.2893059,43288,18794,4223
0.2754616,0.0600595,0.3841069,25511,13496,1874
0.3060771,0.0868161,0.2955784,12841,6324,1379
0.3409394,0.1132016,0.2667006,21749,9562,2105
0.2249267,0.0701813,0.3586512,27664,15320,3443
0.3034556,0.0693665,0.333309,35741,16175,3591
0.2532848,0.2835045,0.0901218,28019,14422,7264
0.3810848,0.0764951,0.2635605,13668,4939,1346
0.3672633,0.0730475,0.3106243,56799,31492,3439
0.4529125,0.1036645,0.2070324,32236,16247,2430
0.4753835,0.0792167,0.184839,47762,21169,5222
0.2746237,0.2770883,0.1086172,21012,8349,3802
0.4628232,0.067001,0.234601,25048,11337,1716
0.3701389,0.0598214,0.3123024,68263,37089,3841
0.4945701,0.0700988,0.2383033,31458,17701,1458
0.4821332,0.1254142,0.1704986,53762,28578,4561
0.3301137,0.2078142,0.1224183,313870,130626,64734
0.2687545,0.2722219,0.0923001,29304,13408,6378
0.2771467,0.1095812,0.2347294,38992,17416,7361
0.2889212,0.1512649,0.2327712,46432,22678,4847
0.3893268,0.0909928,0.2697549,48870,27268,3794
0.2566505,0.0768591,0.3723549,16995,8711,1766
0.3700698,0.0730304,0.2858267,26388,15538,2351
