country,foreign_2011,foreign_2015,population_2011,population_2015,western
Belgium,1628793,1783488,11000638,11237274,1
Bulgaria,78621,123803,7369431,7202198,0
Czech Republic,387971,416454,10486731,10538275,0
Denmark,517230,595876,5560628,5659715,1
Germany,8935603,10220418,80222065,81197537,1
Estonia,212685,194664,1329660,1314870,0
Ireland,737219,749943,4570881,4628949,1
Greece,1325255,1242924,11123392,10858018,1
Spain,6282205,5891208,46667174,46449565,1
France,7335966,7918382,64978721,66488186,1
Italy,5759022,5805328,59364690,60795612,1
Cyprus,193943,176693,839751,847008,1
Latvia,302849,265418,2074605,1986096,0
Lithuania,149544,136021,3052588,2921262,0
Luxembourg,,248888,511840,562958,1
Hungary,443295,475508,9985722,9855571,0
Malta,33591,42430,414989,429344,1
Netherlands,1868655,1996318,16655799,16900726,1
Austria,1291336,1474560,8375164,8576261,1
Poland,637408,611855,38062718,38005614,0
Portugal,755484,864814,10572721,10374822,1
Romania,168478,281048,20199059,19870647,0
Slovenia,228588,237616,2050189,2062874,0
Slovakia,145656,177624,5392446,5421349,0
Finland,243217,314856,5375276,5471753,1
Sweden,1384111,1602522,9415570,9747355,1
United Kingdom,7342547,8411021,63022532,64875165,1
Iceland,34650,39072,318452,329100,1
Liechtenstein,22500,23799,36149,37366,1
Norway,568338,746375,4920305,5166493,1
Switzerland,1940349,2258196,7870134,8237666,1
