day,statename,PriceD,VolumeD,PriceR,VolumeR,state
7/29/08,Alabama,7,0,93,0,AL
7/29/08,Alaska,16,0,83.5,0,AK
7/29/08,Arizona,14.8,0,87,0,AZ
7/29/08,Arkansas,20,0,80,0,AR
7/29/08,California,90,40,10,0,CA
7/29/08,Colorado,66,5,37,0,CO
7/29/08,Connecticut,90,20,10,0,CT
7/29/08,Delaware,94,0,6,0,DE
7/29/08,District of Columbia,96.3,0,3.7,0,DC
7/29/08,Florida,42,0,59.5,0,FL
7/29/08,Georgia,18.5,0,81,0,GA
7/29/08,Hawaii,95,0,6.5,0,HI
7/29/08,Idaho,8,0,92.5,0,ID
7/29/08,Illinois,95,0,5,0,IL
7/29/08,Indiana,38,30,61,1,IN
7/29/08,Iowa,81.5,31,18.5,0,IA
7/29/08,Kansas,12.5,0,88,10,KS
7/29/08,Kentucky,9,0,92,0,KY
7/29/08,Louisiana,12.7,0,87.3,0,LA
7/29/08,Maine,90,0,10,0,ME
7/29/08,Maryland,95,0,8,0,MD
7/29/08,Massachusetts,91.5,0,10,0,MA
7/29/08,Michigan,70,0,30,13,MI
7/29/08,Minnesota,90,37,10,16,MN
7/29/08,Mississippi,17.3,0,80.5,5,MS
7/29/08,Missouri,49,38,55,0,MO
7/29/08,Montana,39,0,64.9,0,MT
7/29/08,Nebraska,14.5,0,85.5,0,NE
7/29/08,Nevada,51.2,0,48.8,0,NV
7/29/08,New Hampshire,67,20,35,0,NH
7/29/08,New Jersey,90,25,10,0,NJ
7/29/08,New Mexico,70,0,30,0,NM
7/29/08,New York,92,3,10,0,NY
7/29/08,North Carolina,30,0,71,0,NC
7/29/08,North Dakota,27.5,0,73,0,ND
7/29/08,Ohio,63.5,7,38,2,OH
7/29/08,Oklahoma,11.3,0,91,0,OK
7/29/08,Oregon,90,0,10,0,OR
7/29/08,Pennsylvania,71.5,25,30,0,PA
7/29/08,Rhode Island,92.5,21,7.5,0,RI
7/29/08,South Carolina,15,27,90,1,SC
7/29/08,South Dakota,20,0,77,0,SD
7/29/08,Tennessee,12.2,0,87.8,0,TN
7/29/08,Texas,13.4,0,87.1,0,TX
7/29/08,Utah,7.5,0,92.5,8,UT
7/29/08,Vermont,89,0,10,0,VT
7/29/08,Virginia,62,115,38,5,VA
7/29/08,Washington,90,15,9.3,0,WA
7/29/08,West Virginia,13,0,87,0,WV
7/29/08,Wisconsin,88,35,10,25,WI
7/29/08,Wyoming,7.5,0,92.5,0,WY
7/30/08,Alabama,7,0,93,0,AL
7/30/08,Alaska,16,1,80,3,AK
7/30/08,Arizona,14.8,0,87,0,AZ
7/30/08,Arkansas,20,0,80,0,AR
7/30/08,California,90,0,10,0,CA
7/30/08,Colorado,66,0,37,0,CO
7/30/08,Connecticut,90,0,10,0,CT
7/30/08,Delaware,94,0,6,0,DE
7/30/08,District of Columbia,96.3,0,3.7,0,DC
7/30/08,Florida,42,5,59.5,0,FL
7/30/08,Georgia,18.5,0,81,0,GA
7/30/08,Hawaii,95,0,6.5,0,HI
7/30/08,Idaho,8,0,92.5,0,ID
7/30/08,Illinois,95,0,5,0,IL
7/30/08,Indiana,38,0,61,0,IN
7/30/08,Iowa,78,3,18.5,0,IA
7/30/08,Kansas,12.5,0,88,0,KS
7/30/08,Kentucky,9,0,92,0,KY
7/30/08,Louisiana,12.7,0,87.3,0,LA
7/30/08,Maine,90,0,10,0,ME
7/30/08,Maryland,95,0,8,0,MD
7/30/08,Massachusetts,91.5,0,10,0,MA
7/30/08,Michigan,70,3,30,0,MI
7/30/08,Minnesota,90,0,10,0,MN
7/30/08,Mississippi,17.3,0,80.5,0,MS
7/30/08,Missouri,49,5,55,0,MO
7/30/08,Montana,36,3,64.9,0,MT
7/30/08,Nebraska,14.5,0,85.5,0,NE
7/30/08,Nevada,51.2,2,48.8,0,NV
7/30/08,New Hampshire,67,0,35,63,NH
7/30/08,New Jersey,90,0,10,0,NJ
7/30/08,New Mexico,70,0,30,0,NM
7/30/08,New York,92,0,10,0,NY
7/30/08,North Carolina,28,1,71,0,NC
7/30/08,North Dakota,27.5,2,73,0,ND
7/30/08,Ohio,63.5,3,38,0,OH
7/30/08,Oklahoma,11.3,0,91,0,OK
7/30/08,Oregon,90,0,10,0,OR
7/30/08,Pennsylvania,75,4,30,0,PA
7/30/08,Rhode Island,92.5,0,7.5,0,RI
7/30/08,South Carolina,15,0,90,0,SC
7/30/08,South Dakota,20,0,77,3,SD
7/30/08,Tennessee,12.2,0,87.8,0,TN
7/30/08,Texas,13.4,0,87.1,0,TX
7/30/08,Utah,7.5,0,92.5,0,UT
7/30/08,Vermont,89,0,10,0,VT
7/30/08,Virginia,62,1,38,4,VA
7/30/08,Washington,90,0,9.3,0,WA
7/30/08,West Virginia,13,0,87,0,WV
7/30/08,Wisconsin,88,0,10,0,WI
7/30/08,Wyoming,7.5,0,92.5,0,WY
7/31/08,Alabama,7,0,93,0,AL
7/31/08,Alaska,22,0,78,0,AK
7/31/08,Arizona,12.5,0,87.5,0,AZ
7/31/08,Arkansas,17,0,83,0,AR
7/31/08,California,90,81,10,45,CA
7/31/08,Colorado,64,0,36,0,CO
7/31/08,Connecticut,90,50,10,70,CT
7/31/08,Delaware,90,0,10,0,DE
7/31/08,District of Columbia,96.3,0,3.7,0,DC
7/31/08,Florida,45,89,55,69,FL
7/31/08,Georgia,20,0,80,0,GA
7/31/08,Hawaii,95.2,0,4.8,0,HI
7/31/08,Idaho,8.4,0,91.6,0,ID
7/31/08,Illinois,95.5,0,5.5,0,IL
7/31/08,Indiana,41,2,59,0,IN
7/31/08,Iowa,77,0,23,0,IA
7/31/08,Kansas,12.7,0,87.3,0,KS
7/31/08,Kentucky,7,0,93,0,KY
7/31/08,Louisiana,11.7,0,88.3,0,LA
7/31/08,Maine,90,31,10,20,ME
7/31/08,Maryland,93.3,0,6.7,0,MD
7/31/08,Massachusetts,91.5,0,8.5,0,MA
7/31/08,Michigan,66,1,34,1,MI
7/31/08,Minnesota,86.5,0,13.5,0,MN
