state,Pollster,Obama,McCain,middate,days.until
AL,SurveyUSA-2,36,61,10/27/08,8
AL,Capital Survey-2,34,54,10/15/08,20
AL,SurveyUSA-2,35,62,10/8/08,27
AL,Capital Survey-2,35,55,10/6/08,29
AL,Rasmussen-1,39,60,9/22/08,43
AL,SurveyUSA-2,34,64,9/16/08,49
AL,ARG-4,36,58,9/14/08,51
AL,U. of South Alabama-8,25,52,9/11/08,54
AL,Capital Survey-7,35,55,9/6/08,59
AL,Capital Survey-7,34,47,8/1/08,95
AL,Rasmussen-1,37,55,7/31/08,96
AL,Rasmussen-1,36,51,6/26/08,131
AL,Capital Survey-2,36,49,6/25/08,132
AL,Capital Survey-5,33,57,5/31/08,157
AL,Rasmussen-1,32,60,5/27/08,161
AL,SurveyUSA-3,34,57,5/17/08,171
AL,Capital Survey-9,36,55,4/20/08,198
AL,SurveyUSA-3,32,64,4/12/08,206
AL,Rasmussen-1,37,55,4/2/08,216
AL,U. of South Alabama-4,30,57,3/25/08,224
AL,SurveyUSA-3,35,62,3/15/08,234
AL,SurveyUSA-3,40,54,2/27/08,251
AL,SurveyUSA-2,29,63,1/16/08,293
AL,Election 2004-1,37,63,1/1/08,308
AK,Research 2000-3,39,58,10/29/08,6
AK,Rasmussen-1,41,57,10/28/08,7
AK,Ivan Moore Research-3,42,53,10/18/08,17
AK,Research 2000-3,38,57,10/15/08,20
AK,Rasmussen-1,40,55,10/6/08,29
AK,Ivan Moore Research-4,38,55,10/4/08,31
AK,Fairleigh Dickinson U.-5,37,55,9/19/08,46
AK,Research 2000-3,38,55,9/16/08,49
AK,ARG-3,39,55,9/10/08,55
AK,Rasmussen-1,33,64,9/9/08,56
AK,Ivan Moore Research-4,35,54,8/31/08,65
AK,Rasmussen-1,39,44,7/30/08,97
AK,Rasmussen-1,40,45,7/17/08,110
AK,Research 2000-3,41,51,7/15/08,112
AK,Rasmussen-1,41,45,6/16/08,141
AK,Rasmussen-1,41,50,5/14/08,174
AK,Research 2000-3,42,49,5/13/08,175
AK,Rasmussen-1,43,48,4/7/08,211
AK,SurveyUSA-3,43,48,2/27/08,251
AK,Election 2004-1,35,62,1/1/08,308
AZ,ARG-3,46,50,10/29/08,6
AZ,Research 2000-3,47,48,10/29/08,6
AZ,Mason-Dixon-2,44,48,10/27/08,8
AZ,Rasmussen-1,46,51,10/26/08,9
AZ,Opinion Research-6,46,53,10/25/08,10
AZ,Arizona State U.-4,44,46,10/24/08,11
AZ,Northern Arizona U.-10,41,49,10/22/08,13
AZ,Zimmerman-4,42,44,10/17/08,18
AZ,Rasmussen-1,38,59,9/29/08,36
AZ,Arizona State U.-4,38,45,9/26/08,39
AZ,ARG-4,39,56,9/12/08,53
AZ,Arizona State U.-3,30,40,8/15/08,81
AZ,Mason-Dixon-3,41,47,8/14/08,82
AZ,Rasmussen-1,36,52,7/30/08,97
AZ,Rasmussen-1,40,49,6/25/08,132
AZ,Arizona State U.-2,28,38,6/20/08,137
AZ,Rocky Mtn Poll-9,39,50,5/16/08,172
AZ,Arizona State U.-4,38,47,4/25/08,193
AZ,Rasmussen-1,37,57,4/15/08,203
AZ,Northern Arizona U.-10,33,55,4/3/08,215
AZ,SurveyUSA-3,39,51,2/27/08,251
AZ,Arizona State U.-4,38,49,2/22/08,256
AZ,Election 2004-1,45,55,1/1/08,308
AR,ARG-4,44,51,10/29/08,6
AR,Rasmussen-1,44,54,10/27/08,8
AR,Research 2000-2,41,52,10/21/08,14
AR,U. of Arkansas-21,36,51,10/11/08,24
AR,Rasmussen-1,42,51,9/22/08,43
AR,ARG-3,41,53,9/21/08,44
AR,Rasmussen-1,37,47,7/14/08,113
AR,Rasmussen-1,41,45,6/16/08,141
AR,Rasmussen-1,39,48,6/12/08,145
AR,Rasmussen-1,33,57,5/12/08,176
AR,Rasmussen-1,30,59,3/18/08,231
AR,Opinion Res.-6,27,43,3/8/08,241
AR,SurveyUSA-3,33,53,2/27/08,251
AR,Election 2004-1,45,54,1/1/08,308
CA,SurveyUSA-3,60,36,10/30/08,5
CA,Rasmussen-1,61,34,10/25/08,10
CA,Field Poll-11,55,33,10/23/08,12
CA,SurveyUSA-2,59,35,10/15/08,20
CA,Public Policy Inst. of Calif.-8,56,33,10/15/08,20
CA,Rasmussen-1,56,40,10/9/08,26
CA,SurveyUSA-2,55,39,10/4/08,31
CA,SurveyUSA-2,53,43,9/23/08,42
CA,Rasmussen-1,56,39,9/22/08,43
CA,ARG-3,53,39,9/19/08,46
CA,Public Policy Inst. of Calif.-8,50,40,9/12/08,53
CA,Field Poll-10,52,36,9/9/08,56
CA,Rasmussen-1,51,37,8/20/08,76
CA,Pub. Policy Inst. of Calif.-8,48,39,8/15/08,81
CA,Rasmussen-1,50,38,7/24/08,103
CA,Pub. Policy Inst. of Calif.-15,50,35,7/15/08,112
CA,Field Poll-7,54,30,7/11/08,116
CA,Rasmussen-1,58,30,6/23/08,134
CA,SurveyUSA-3,53,41,6/18/08,139
CA,Field Poll-12,52,35,5/21/08,167
CA,LA Times-2,47,40,5/20/08,168
CA,Rasmussen-1,52,38,5/20/08,168
CA,SurveyUSA-3,49,41,5/17/08,171
CA,Rasmussen-1,50,43,4/16/08,202
CA,SurveyUSA-3,50,43,4/12/08,206
CA,SurveyUSA-3,54,40,3/15/08,234
CA,Public Policy Inst. of Calif.-8,49,40,3/14/08,235
CA,Rasmussen-1,53,38,3/12/08,237
CA,SurveyUSA-3,51,40,2/27/08,251
CA,SurveyUSA-3,61,34,2/16/08,262
CA,Election 2004-1,55,44,1/1/08,308
CO,ARG-3,52,45,10/29/08,6
CO,Mason-Dixon-2,49,44,10/28/08,7
CO,Marist Coll.-2,51,45,10/27/08,8
CO,Rasmussen-1,50,46,10/26/08,9
