"","X","bg_female","bg_married","bg_b1_age","fol2_amtinvest","tgroup"
"1",1,0,1,30,340,"Safe Box"
"2",2,1,1,29,80,"Safe Box"
"3",3,1,1,40,0,"Safe Box"
"4",4,0,1,44,100,"Safe Box"
"5",5,0,1,22,NA,"Safe Box"
"6",6,1,0,35,510,"Safe Box"
"7",7,1,0,45,NA,"Safe Box"
"8",8,1,0,28,60,"Safe Box"
"9",9,1,1,45,1140,"Safe Box"
"10",10,1,1,42,0,"Safe Box"
"11",11,0,1,48,100,"Safe Box"
"12",12,1,1,25,33,"Safe Box"
"13",13,1,1,25,940,"Safe Box"
"14",14,1,1,28,850,"Safe Box"
"15",15,1,0,40,290,"Safe Box"
"16",16,1,1,37,40,"Safe Box"
"17",17,1,1,45,120,"Locked Box"
"18",18,1,1,30,1300,"Locked Box"
"19",19,1,0,40,100,"Locked Box"
"20",20,1,0,48,0,"Locked Box"
"21",21,1,1,40,640,"Locked Box"
"22",22,1,1,52,800,"Locked Box"
"23",23,0,1,33,1560,"Locked Box"
"24",24,1,1,47,96,"Locked Box"
"25",25,1,0,42,470,"Locked Box"
"26",26,1,0,55,60,"Locked Box"
"27",27,1,0,40,100,"Locked Box"
"28",28,1,0,24,550,"Locked Box"
"29",29,1,1,20,NA,"Locked Box"
"30",30,1,1,50,220,"Locked Box"
"31",31,0,1,51,40,"Locked Box"
"32",32,0,1,46,60,"Locked Box"
"33",33,1,1,40,80,"Locked Box"
"34",34,1,0,17,NA,"Locked Box"
"35",35,0,1,68,0,"Locked Box"
"36",36,1,1,33,NA,"Locked Box"
"37",37,1,1,38,NA,"Locked Box"
"38",38,1,1,68,0,"Locked Box"
"39",39,1,1,46,40,"Locked Box"
"40",40,0,1,48,110,"Control"
"41",41,0,0,32,0,"Control"
"42",42,0,1,35,93,"Control"
"43",43,1,1,47,20,"Control"
"44",44,1,1,35,80,"Control"
"45",45,0,1,56,1399,"Control"
"46",46,0,1,33,0,"Control"
"47",47,0,1,24,125,"Control"
"48",48,1,1,24,225,"Control"
"49",49,1,1,48,105,"Control"
"50",50,1,0,30,40,"Control"
"51",51,0,1,48,440,"Locked Box"
"52",52,1,0,63,500,"Locked Box"
"53",53,0,1,35,40,"Locked Box"
"54",54,1,0,62,700,"Locked Box"
"55",55,0,1,56,770,"Locked Box"
"56",56,1,1,45,0,"Locked Box"
"57",57,0,1,34,0,"Locked Box"
"58",58,1,1,40,720,"Locked Box"
"59",59,1,1,52,0,"Locked Box"
"60",60,1,1,45,900,"Locked Box"
"61",61,1,1,45,40,"Locked Box"
"62",62,1,1,40,0,"Locked Box"
"63",63,1,1,35,0,"Locked Box"
"64",64,1,1,23,700,"Locked Box"
"65",65,1,1,23,60,"Locked Box"
"66",66,1,1,23,470,"Locked Box"
"67",67,1,1,30,520,"Locked Box"
"68",68,0,1,41,300,"Locked Box"
"69",69,1,1,21,993,"Safe Box"
"70",70,1,0,32,180,"Control"
"71",71,1,0,34,300,"Control"
"72",72,1,1,43,60,"Control"
"73",73,1,1,34,20,"Control"
"74",74,1,0,38,725,"Control"
"75",75,1,1,38,0,"Control"
"76",76,1,1,39,120,"Control"
"77",77,1,1,38,20,"Control"
"78",78,1,1,32,560,"Locked Box"
"79",79,1,1,28,840,"Locked Box"
"80",80,1,1,27,63,"Locked Box"
"81",81,1,1,25,880,"Locked Box"
"82",82,1,1,26,500,"Safe Box"
"83",83,1,1,38,1430,"Safe Box"
"84",84,1,1,38,350,"Safe Box"
"85",85,1,1,26,640,"Safe Box"
"86",86,0,1,36,0,"Safe Box"
"87",87,1,1,30,420,"Safe Box"
"88",88,1,1,30,850,"Safe Box"
"89",89,1,0,25,0,"Safe Box"
"90",90,1,1,45,700,"Safe Box"
"91",91,1,0,30,1075,"Safe Box"
"92",92,1,0,52,40,"Safe Box"
"93",93,1,0,55,60,"Safe Box"
"94",94,1,0,40,490,"Safe Box"
"95",95,1,0,63,60,"Safe Box"
"96",96,1,0,50,630,"Safe Box"
"97",97,0,0,50,80,"Safe Box"
"98",98,1,0,70,70,"Safe Box"
"99",99,1,1,25,790,"Safe Box"
"100",100,0,1,44,150,"Safe Box"
"101",101,0,1,42,1180,"Safe Box"
"102",102,0,1,26,NA,"Safe Box"
"103",103,0,1,28,NA,"Safe Box"
"104",104,1,0,49,40,"Safe Box"
"105",105,1,1,35,150,"Safe Box"
"106",106,0,1,44,300,"Safe Box"
"107",107,1,1,26,760,"Safe Box"
"108",108,1,1,35,20,"Safe Box"
"109",109,1,1,35,390,"Safe Box"
"110",110,1,1,43,980,"Control"
"111",111,1,1,44,710,"Control"
"112",112,1,0,42,240,"Locked Box"
"113",113,1,1,48,0,"Locked Box"
"114",114,1,1,21,100,"Locked Box"
"115",115,1,1,46,205,"Locked Box"
"116",116,1,1,21,60,"Locked Box"
"117",117,1,1,35,100,"Locked Box"
"118",118,1,1,51,40,"Locked Box"
"119",119,1,1,40,0,"Locked Box"
"120",120,1,0,50,0,"Locked Box"
"121",121,1,1,27,2580,"Safe Box"
"122",122,1,1,32,5700,"Safe Box"
"123",123,1,0,45,20,"Safe Box"
"124",124,1,1,32,NA,"Safe Box"
"125",125,1,1,18,150,"Safe Box"
"126",126,1,0,42,20,"Locked Box"
"127",127,1,1,47,400,"Locked Box"
"128",128,1,0,47,70,"Locked Box"
"129",129,1,0,62,0,"Locked Box"
"130",130,1,0,70,0,"Locked Box"
"131",131,1,0,76,NA,"Locked Box"
"132",132,1,0,38,60,"Locked Box"
"133",133,1,0,70,20,"Locked Box"
"134",134,1,0,24,0,"Locked Box"
"135",135,0,1,37,NA,"Safe Box"
"136",136,1,1,45,290,"Safe Box"
"137",137,1,0,45,40,"Safe Box"
"138",138,0,1,34,650,"Safe Box"
"139",139,0,1,36,NA,"Safe Box"
"140",140,0,1,40,80,"Control"
"141",141,0,1,41,600,"Control"
"142",142,1,1,40,0,"Control"
"143",143,1,1,32,385,"Control"
"144",144,1,1,24,50,"Control"
"145",145,0,1,36,50,"Control"
"146",146,0,1,30,350,"Control"
"147",147,0,1,33,200,"Locked Box"
"148",148,0,1,29,250,"Locked Box"
"149",149,0,0,22,700,"Locked Box"
"150",150,1,1,29,40,"Locked Box"
"151",151,1,1,29,80,"Locked Box"
"152",152,1,1,22,1040,"Locked Box"
"153",153,1,0,32,30,"Locked Box"
"154",154,1,1,32,1535,"Locked Box"
"155",155,1,0,20,250,"Locked Box"
"156",156,1,1,31,295,"Locked Box"
"157",157,0,1,26,40,"Locked Box"
"158",158,1,0,24,290,"Locked Box"
"159",159,1,0,58,0,"Control"
"160",160,1,0,63,0,"Control"
"161",161,1,1,68,530,"Control"
"162",162,1,1,30,640,"Control"
"163",163,1,1,55,NA,"Control"
"164",164,1,1,68,63,"Control"
"165",165,1,1,35,250,"Control"
"166",166,1,0,55,60,"Control"
"167",167,1,1,65,5,"Control"
"168",168,1,0,40,1010,"Control"
"169",169,1,1,31,550,"Control"
