voter.id,treatment,victim.status,ge2000,ge2002,fam.members,age,party,sex,pct.white,median.income
1,0,2,N,0,1,32,D,F,0.911583006,33258
2,1,3,Y,1,4,50,N,F,0.916064024,166361
3,1,3,Y,1,4,50,N,M,0.916064024,166361
4,0,3,A,1,1,62,N,F,0.919984996,200001
5,0,3,N,0,1,84,D,F,0.905417979,39688
6,0,3,N,0,1,86,D,F,0.943654001,31961
7,0,3,Y,1,2,59,D,F,0.943654001,31961
8,0,3,Y,1,2,61,D,M,0.943654001,31961
9,0,3,Y,0,1,42,N,F,0.883898973,37245
10,0,3,Y,1,3,75,D,M,0.94867301,53311
11,0,3,Y,0,3,78,D,F,0.94867301,53311
12,0,3,Y,1,2,65,D,F,0.737429976,71667
13,0,2,N,0,3,67,N,M,0.954315007,45104
14,0,2,Y,1,3,66,N,F,0.954315007,45104
15,0,2,Y,1,3,45,N,F,0.954315007,45104
16,0,3,Y,1,2,56,D,F,0.88754499,100685
17,0,3,N,0,2,47,D,M,0.94867301,53311
18,0,3,N,0,2,42,D,F,0.94867301,53311
19,0,3,Y,0,3,46,N,M,0.94867301,53311
20,0,3,N,0,2,24,N,F,0.867847025,46591
21,0,3,Y,0,1,34,N,F,0.883898973,37245
22,0,3,Y,1,3,56,N,F,0.88754499,100685
23,0,3,Y,1,3,63,N,M,0.88754499,100685
24,0,3,Y,1,1,68,N,F,0.88754499,100685
25,1,3,Y,1,2,70,D,F,0.853215992,87272
26,0,3,Y,1,2,64,N,M,0.837392986,102485
27,0,3,Y,0,2,61,N,F,0.837392986,102485
28,0,3,Y,1,2,69,D,M,0.737429976,71667
29,0,2,N,0,1,56,N,F,0.987966001,30057
30,0,3,Y,1,4,66,D,F,0.853215992,87272
31,0,3,Y,1,4,70,N,M,0.853215992,87272
32,0,3,N,0,2,89,N,M,0.932277024,80403
33,0,3,Y,0,1,78,D,M,0.786831975,54755
34,1,3,N,0,2,88,N,M,0.655826986,53365
35,0,2,Y,1,1,47,N,F,0.983042002,31422
36,0,3,Y,1,1,74,N,F,0.987966001,30057
37,0,3,Y,1,1,65,N,F,0.987966001,30057
38,0,3,Y,1,2,58,N,M,0.987966001,30057
39,0,3,Y,1,2,54,N,F,0.987966001,30057
40,0,3,N,0,1,84,N,F,0.924923003,55579
41,0,3,Y,1,1,63,N,M,0.980488002,28281
42,0,3,Y,1,2,73,D,M,0.916064024,166361
43,0,3,Y,1,2,70,D,F,0.916064024,166361
44,0,3,Y,1,3,58,D,F,0.916064024,166361
45,0,3,Y,0,1,87,D,F,0.916064024,166361
46,0,2,Y,0,3,55,N,F,0.916064024,166361
47,0,3,Y,1,1,50,D,F,0.921781003,56125
48,0,3,N,0,2,70,D,F,0.916064024,166361
49,0,3,N,0,2,74,D,M,0.916064024,166361
50,0,3,Y,0,1,37,N,M,0.916064024,166361
51,0,3,Y,1,2,73,N,M,0.67268002,62917
52,0,3,Y,1,2,44,N,M,0.987966001,30057
53,0,3,Y,1,1,58,D,M,0.949916005,33444
54,0,3,N,0,2,73,D,F,0.907513976,115845
55,0,2,Y,1,1,65,D,F,0.640555024,63582
56,0,3,Y,1,1,83,D,F,0.640555024,63582
57,0,2,N,0,3,47,N,F,0.980488002,28281
58,0,3,Y,1,2,75,N,F,0.987966001,30057
59,0,3,Y,1,2,79,N,M,0.987966001,30057
60,0,3,N,0,2,74,D,M,0.907513976,115845
61,0,3,Y,1,1,87,N,F,0.980488002,28281
62,0,3,Y,1,2,68,N,F,0.885154009,79669
63,0,3,Y,1,2,50,N,F,0.987966001,30057
64,0,3,Y,1,1,88,D,F,0.800346971,60556
65,0,3,N,0,1,83,N,F,0.980488002,28281
66,0,3,N,0,1,81,D,F,0.869077981,79413
67,0,3,Y,1,2,37,N,F,0.980488002,28281
68,0,3,Y,1,2,43,D,M,0.980488002,28281
69,0,3,Y,1,2,71,D,F,0.976000011,33152
70,0,3,N,0,2,81,N,M,0.976000011,33152
71,0,3,Y,1,2,64,N,F,0.918968976,86803
72,0,3,N,0,1,88,D,M,0.722656012,69821
73,0,3,N,1,2,83,D,F,0.944986999,67250
74,1,3,Y,1,3,75,N,M,0.944986999,67250
75,1,3,Y,1,3,74,N,F,0.944986999,67250
76,1,3,Y,1,2,86,N,M,0.336481988,38162
77,0,3,N,0,2,51,N,F,0.798907995,36998
77,0,3,N,0,2,51,N,F,0.798907995,36998
78,0,3,Y,1,1,72,N,M,0.917043984,68814
79,0,3,Y,1,3,47,D,M,0.878488004,61250
80,0,3,Y,1,3,49,D,F,0.878488004,61250
81,0,3,Y,1,4,67,N,F,0.918968976,86803
82,0,3,N,0,1,62,D,F,0.95599401,55655
83,0,3,Y,1,1,56,N,M,0.949916005,33444
84,0,3,Y,1,3,71,D,F,0.918392003,88227
85,0,3,Y,1,1,77,N,F,0.918392003,88227
86,0,3,Y,1,2,62,N,F,0.892241001,56625
87,0,3,N,0,3,75,N,M,0.766204,52143
88,0,3,N,0,3,71,N,F,0.766204,52143
89,0,3,N,0,1,84,D,M,0.730531991,73636
90,0,3,N,0,1,81,D,F,0.85453099,59226
91,0,3,N,0,1,43,N,F,0.862187028,53359
92,0,3,N,0,1,84,D,F,0.949191988,102968
